Ticker,date,month,open,high,low,close,volume
POWERGRID,2023-10-10 05:30:00,2023-10,196.25,198.55,195.7,197.95,7440527
INFY,2023-10-10 05:30:00,2023-10,1483.9,1497.0,1469.1,1495.15,5688951
TRENT,2023-10-10 05:30:00,2023-10,2089.75,2089.75,2047.1,2050.8,351329
BHARTIARTL,2023-10-10 05:30:00,2023-10,924.55,954.05,921.05,948.35,7897875
TATAMOTORS,2023-10-10 05:30:00,2023-10,620.0,632.5,617.6,630.55,9833429
WIPRO,2023-10-10 05:30:00,2023-10,406.4,408.75,406.2,407.75,2564007
TECHM,2023-10-10 05:30:00,2023-10,1215.2,1231.45,1213.0,1227.75,1503359
NTPC,2023-10-10 05:30:00,2023-10,234.9,236.85,233.75,235.9,11665907
HINDUNILVR,2023-10-10 05:30:00,2023-10,2512.2,2520.85,2503.35,2516.2,1092373
APOLLOHOSP,2023-10-10 05:30:00,2023-10,5068.95,5084.55,5033.0,5066.7,202645
M&M,2023-10-10 05:30:00,2023-10,1521.45,1543.85,1519.2,1537.85,1956653
GRASIM,2023-10-10 05:30:00,2023-10,1885.45,1914.89,1879.03,1911.3,355903
ICICIBANK,2023-10-10 05:30:00,2023-10,940.4,957.5,940.35,951.2,11452715
ADANIENT,2023-10-10 05:30:00,2023-10,2443.0,2517.95,2443.0,2498.3,1771910
ADANIPORTS,2023-10-10 05:30:00,2023-10,800.55,823.7,800.55,819.5,7591327
BEL,2023-10-10 05:30:00,2023-10,137.4,141.0,136.5,139.95,15593722
BAJAJFINSV,2023-10-10 05:30:00,2023-10,1630.0,1643.95,1617.0,1633.1,1453653
EICHERMOT,2023-10-10 05:30:00,2023-10,3450.45,3474.0,3449.05,3458.75,206646
COALINDIA,2023-10-10 05:30:00,2023-10,288.25,303.9,287.8,303.25,23283411
MARUTI,2023-10-10 05:30:00,2023-10,10290.0,10417.0,10270.1,10375.0,348342
INDUSINDBK,2023-10-10 05:30:00,2023-10,1434.0,1436.35,1412.05,1420.55,1874201
ASIANPAINT,2023-10-10 05:30:00,2023-10,3150.0,3164.9,3140.05,3151.5,847367
TATASTEEL,2023-10-10 05:30:00,2023-10,124.7,125.9,123.75,125.3,28745957
HDFCLIFE,2023-10-10 05:30:00,2023-10,616.1,624.75,615.15,621.25,4054232
DRREDDY,2023-10-10 05:30:00,2023-10,1096.8,1097.4,1085.6,1095.71,1519630
SUNPHARMA,2023-10-10 05:30:00,2023-10,1122.0,1130.4,1119.8,1126.5,1092093
KOTAKBANK,2023-10-10 05:30:00,2023-10,1727.5,1768.7,1720.6,1756.1,3368982
SHRIRAMFIN,2023-10-10 05:30:00,2023-10,1840.0,1896.75,1815.2,1892.85,1675512
NESTLEIND,2023-10-10 05:30:00,2023-10,2296.0,2301.7,2282.53,2296.81,396630
ONGC,2023-10-10 05:30:00,2023-10,182.3,184.5,182.05,183.5,11819690
CIPLA,2023-10-10 05:30:00,2023-10,1160.1,1163.6,1150.5,1155.05,822199
